,y
3132,2.9957322735539913
2282,0.0
3612,0.0
3984,0.0
1906,2.772588722239781
443,0.0
1893,1.3862943611198906
3586,7.487733761436443
2874,0.0
4808,0.0
3889,0.0
1195,5.37989735354046
2165,0.0
495,0.0
4982,5.267858159063328
2217,0.0
2223,0.0
4201,0.0
2911,0.0
3852,2.9957322735539913
2046,0.0
3602,0.0
54,4.68213122712422
2008,0.0
2369,0.0
3872,0.0
3296,2.8332133440562166
3785,0.0
3283,0.0
4271,6.5998704992128365
632,0.0
577,0.0
3366,0.0
3536,0.0
787,0.6931471805599453
1080,5.631211781821365
2803,0.0
233,0.0
4200,0.0
1420,1.0986122886681098
2646,0.0
2470,0.0
4623,0.6931471805599453
1724,5.231108616854587
784,0.6931471805599453
1892,1.6094379124341005
4325,0.0
3939,0.0
785,2.079441541679836
524,0.0
714,4.7535901911063645
4516,0.0
1678,6.78897174299217
4228,0.0
2743,2.5649493574615367
4990,5.840641657373397
2490,0.0
4405,3.258096538021482
857,4.343805421853683
2360,0.0
292,0.0
2424,0.0
561,0.0
2999,0.0
93,0.0
661,0.0
3396,0.0
1061,0.0
2363,0.0
3809,0.0
4131,0.0
2675,0.0
657,0.0
3509,0.0
4432,6.9469759921354175
4749,0.0
2536,0.0
4756,0.0
389,0.0
101,0.0
3634,0.0
2581,4.997212273764115
938,0.0
2240,0.0
4037,0.0
3162,0.0
6,0.0
1063,0.0
1992,0.0
1792,0.0
1103,5.429345628954442
224,0.0
959,0.0
2146,0.0
1227,0.0
436,0.0
4333,0.0
2776,0.0
1043,2.302585092994046
3644,0.0
2864,0.0
1939,0.0
2089,6.045005314036013
2593,4.736198448394496
2000,0.0
4454,0.0
4285,0.0
2856,0.0
2998,0.0
1973,0.0
548,0.0
2550,5.8607862234658645
3983,0.0
4177,0.0
2701,0.0
3578,0.0
2667,0.0
3455,0.0
1784,0.0
3021,0.0
4047,0.0
3623,0.0
464,1.0986122886681098
2132,0.0
1375,0.0
725,4.30406509320417
3665,0.0
940,0.0
4180,0.0
231,0.0
2907,0.0
4126,0.0
1413,1.6094379124341005
3060,2.5649493574615367
1143,0.0
1035,4.51085950651685
1518,0.0
4674,0.0
1387,1.0986122886681098
2538,0.0
4931,0.0
2730,4.248495242049359
3143,4.718498871295094
3986,0.0
3597,0.0
3652,0.0
773,5.5373342670185375
3818,0.0
4315,0.0
4291,0.0
2707,0.0
2652,0.0
201,0.0
3798,0.0
2397,0.0
3211,0.0
416,0.0
2476,0.0
4856,0.0
2772,0.0
3608,0.0
3430,0.0
338,0.0
260,0.0
3581,0.0
719,5.40717177146012
